id,session_id,movie_title,proposed_by,poster,genre,runtime,year,director,plot,imdb_rating,imdb_id,watched_at,created_at,updated_at
047fe5e1-f2c8-4775-9b94-c7110dba81e6,980201b7-c040-4c82-b51e-af1a1f516f4e,Hamnet,Marco,https://m.media-amazon.com/images/M/MV5BMDQ5ZmY0OWYtOTYzZi00Mzg5LWE3N2EtMjYwZTAzZmJhYjkyXkEyXkFqcGc@._V1_SX300.jpg,"Biography, Drama, History",125 min,2025,Chloé Zhao,"After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while processing her devastating loss.",8.1,tt14905854,2026-03-08 00:00:00+00,2026-03-08 22:38:49.615288+00,2026-03-08 22:38:49.615288+00
0a8e6758-5d20-4494-bd87-7bcf257f6b51,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Test,aooo,https://m.media-amazon.com/images/M/MV5BOWRmYjAwZjktZGVjMi00OWJjLTllMDktNjYyOGQzNGRjMDU2XkEyXkFqcGc@._V1_SX300.jpg,"Drama, Sport",145 min,2025,S. Sashikanth,Three people's worlds collide during a historic international cricket test match in Chennai which ultimately forces them to make life-changing difficult decisions.,5.1,tt27477888,2025-09-03 23:16:31.847+00,2025-09-03 23:16:30.680901+00,2025-09-03 23:16:30.680901+00
0bee2ea3-748e-4792-be47-a333dc78426a,980201b7-c040-4c82-b51e-af1a1f516f4e,Godzilla Minus One,Denno,https://m.media-amazon.com/images/M/MV5BMjc5MjllMGUtMDIwMS00ZDVkLWEzODQtM2NlMTMwMTZhNThmXkEyXkFqcGc@._V1_SX300.jpg,"Action, Adventure, Drama",124 min,2023,Takashi Yamazaki,A kamikaze pilot plagued by survivor's guilt seeks redemption when a giant monster he failed to kill is transformed by radiation from atomic bomb tests and lays siege to post-war Japan.,7.7,tt23289160,2026-06-20 22:59:03.932+00,2026-06-20 22:59:03.998598+00,2026-06-20 22:59:03.998598+00
0f92d7f9-708f-4265-b7a0-321dcc57bc4e,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Tenet,coso,https://m.media-amazon.com/images/M/MV5BMTU0ZjZlYTUtYzIwMC00ZmQzLWEwZTAtZWFhMWIwYjMxY2I3XkEyXkFqcGc@._V1_SX300.jpg,"Action, Sci-Fi, Thriller",150 min,2020,Christopher Nolan,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",7.3,tt6723592,2025-09-06 15:43:37.09+00,2025-09-06 15:43:36.678576+00,2025-09-06 15:43:36.678576+00
0fb4a41f-dae4-41cf-9437-40f81a5b2860,980201b7-c040-4c82-b51e-af1a1f516f4e,The Road,Fil,https://m.media-amazon.com/images/M/MV5BMTAwNzk4NTU3NDReQTJeQWpwZ15BbWU3MDg3OTEyODI@._V1_SX300.jpg,"Drama, Thriller",111 min,2009,John Hillcoat,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",7.2,tt0898367,2026-01-09 22:45:25.645+00,2026-01-09 22:45:25.662999+00,2026-01-09 22:45:25.662999+00
10630e0d-d520-481f-b2fe-8307e3b959e9,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Star Wars: Episode I - The Phantom Menace,ciccio,https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg,"Action, Adventure, Fantasy",136 min,1999,George Lucas,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",6.5,tt0120915,2025-09-03 23:17:33.237+00,2025-09-03 23:17:32.082176+00,2025-09-03 23:17:32.082176+00
11502bf3-40e3-468b-b984-b553b20a82c1,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Cars,Prova 4 5 0,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,"Animation, Adventure, Comedy",116 min,2006,"John Lasseter, Joe Ranft","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.3,tt0317219,2025-08-29 23:29:34.869555+00,2025-08-29 23:29:34.869555+00,2025-08-29 23:29:34.869555+00
15afe751-a56a-4300-840b-be67d97fb364,980201b7-c040-4c82-b51e-af1a1f516f4e,Prisoners,Denno,https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,"Crime, Drama, Mystery",153 min,2013,Denis Villeneuve,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,8.2,tt1392214,2026-03-07 22:53:08.44+00,2026-03-07 22:53:08.579457+00,2026-03-07 22:53:08.579457+00
19c98067-9d7e-4a30-b016-4ebb30bb5532,980201b7-c040-4c82-b51e-af1a1f516f4e,Disclosure Day,Marco,"https://m.media-amazon.com/images/M/MV5BMTgwNDI1ZjctYWNmMS00MTJhLTg1ZWItMzI1Yjk5NjZkYWFkXkEyXkFqcGc@._V1_QL75_UX380_CR0,20,380,562_.jpg","Drama, Sci-Fi, Thriller",145 min,2026,Steven Spielberg,"If you found out we weren't alone, if someone showed you, proved it to you, would that frighten you?",N/A,tt15047880,2026-06-15 00:00:00+00,2026-06-15 20:42:33.615148+00,2026-06-15 20:42:33.615148+00
1ac764af-fe1c-459d-8a4a-e05ee141e78b,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Ciao,aooo,,,,,,,,,2025-09-03 23:12:43.027+00,2025-09-03 23:12:41.820686+00,2025-09-03 23:12:41.820686+00
